rank,name,symbol,market_cap,price,circulating_supply,volume,change_7d
23,Feathercoin,FTC,"$1,602,330.44",$0.02564,"62,485,090 FTC","$4,436.77",-2.51%
24,Quark,QRK,"$1,213,870.35",$0.004886,"248,435,888 QRK","$2,990.06",0.79%
25,Nxttycoin,NXTTY,"$1,192,655.76",$0.001193,"1,000,000,000 NXTTY","$2,266.06",-33.80%
26,bitUSD,BITUSD,"$1,157,848.24",$1.0162,"1,139,401 BITUSD","$9,698.32",1.23%
27,Primecoin,XPM,"$1,112,077.93",$0.1374,"8,093,755 XPM","$2,126.99",-0.87%
28,ReddCoin,RDD,"$1,059,311.07",$0.00003887,"27,249,232,299 RDD","$1,357.92",2.17%
29,Pandacoin,PND,"$1,034,046.15",$0.00003199,"32,320,482,669 PND","$2,555.53",-7.80%
30,UltraCoin,UTC,"$944,257.91",$0.04114,"22,951,359 UTC","$21,127.20",31.62%
31,BitBay,BAY,"$866,581.80",$0.0008666,"1,000,034,989 BAY","$25,417.91",-16.85%
32,BitShares PTS,PTS,"$848,198.82",$0.4811,"1,763,152 PTS","$12,147.07",90.47%
33,Ixcoin,IXC,"$775,081.05",$0.03691,"20,999,906 IXC",$813.44,27.31%
34,Zetacoin,ZET,"$712,401.86",$0.004417,"161,270,079 ZET","$2,707.81",-12.14%
35,MonaCoin,MONA,"$661,927.26",$0.04543,"14,571,050 MONA","$2,183.70",-1.82%
36,Jinn,JINN,"$651,518.30",$6.5152,"100,000 JINN",$977.28,22.47%
37,jl777hodl,JLH,"$649,788.08",$0.06498,"10,000,000 JLH","$1,100.87",21.92%
38,ShadowCash,SDC,"$583,545.12",$0.0905,"6,447,870 SDC","$9,776.19",-19.35%
39,WorldCoin,WDC,"$543,989.36",$0.007928,"68,615,468 WDC","$1,475.16",5.41%
40,Novacoin,NVC,"$543,161.25",$0.6414,"846,792 NVC","$1,079.94",-8.31%
41,Vertcoin,VTC,"$516,601.82",$0.05138,"10,055,000 VTC","$5,912.07",5.77%
42,CannabisCoin,CANN,"$515,827.63",$0.007395,"69,752,665 CANN","$13,791.51",64.53%
43,Megacoin,MEC,"$514,715.04",$0.01954,"26,341,475 MEC",$856.24,-2.88%
44,DNotes,NOTE,"$461,622.51",$0.004922,"93,792,776 NOTE",$545.04,3.98%
45,Viacoin,VIA,"$459,831.08",$0.03721,"12,356,325 VIA","$1,463.02",-22.29%
46,NeoDICE,DICE,"$443,096.70",$0.4431,"1,000,000 DICE",$964.03,-12.98%
47,VeriCoin,VRC,"$422,753.60",$0.0157,"26,919,518 VRC","$1,454.24",5.04%
48,Uro,URO,"$413,846.54",$0.4113,"1,006,193 URO","$1,615.93",-5.74%
49,Privatebet,Privatebet,"$407,559.39",$1.0189,"400,000 Privatebet",$992.35,30.45%
50,BilShares,BILS,"$407,051.03",$0.0004071,"1,000,000,000 BILS","$7,429.33",12.72%
51,Mooncoin,MOON,"$396,423.42",$0.00000204,"194,278,755,647 MOON","$2,707.13",9.65%
52,Anoncoin,ANC,"$370,883.31",$0.26,"1,426,429 ANC","$7,952.79",-0.69%
53,DigitalNote,XDN,"$340,433.65",$0.00005062,"6,725,113,496 XDN","$16,720.29",-0.32%
54,TileCoin,XTC,"$317,559.48",$0.003176,"100,000,000 XTC","$4,501.91",28.49%
